# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  1.958257322910283E+00  2.725619833491805E+17  2.061687102876515E+01  1.334234774302179E+02  9.003231348395726E-01  2.516770937902702E-03  4.050430890635535E-03  1.039036447884487E+00
  1.967663308532466E+00  6.055516491141716E+17  2.649183270423651E+01  4.531639198841339E+02  2.570239360360827E+00  1.727865032999198E-03  2.266301426576010E-02  1.026513570445101E+00
  1.977069294154649E+00  1.356535469083352E+18  4.123874200620445E+01  1.716735424867454E+03  8.962866697011673E+00  8.896510766788221E-04  1.418973547753554E-01  1.013897590353347E+00
  1.986475279776832E+00  2.907250249388718E+18  7.527383956008714E+01  5.733916357389926E+03  3.506201413762545E+01  3.607544675073901E-04  8.805340512381610E-01  1.001187392382197E+00
  1.995881265399015E+00  5.608631831502158E+18  1.420729256311957E+02  7.198229817737892E+03  1.276669935534449E+02  1.391268127343205E-04  4.502241788772274E+00  9.883825978569764E-01
  2.005287251021198E+00  9.200066256945842E+18  2.440396629962864E+02 -1.036637008207780E+04  3.597176492754917E+02  6.179981808580496E-05  1.587710826683044E+01  9.754816206550814E-01
  2.014693236643381E+00  1.266371105374797E+19  3.613014221580519E+02  2.988122846611669E+03  7.330625593725167E+02  3.430625528354848E-05  3.660295170666563E+01  9.624803907336297E-01
  2.024099222265564E+00  1.521871427831263E+19  4.710085337352036E+02  2.147904698827717E+04  1.148463280809389E+03  2.304807497116580E-05  6.035727203580014E+01  9.493797516449979E-01
  2.033505207887747E+00  1.686755774805468E+19  5.669957635663384E+02  3.669571866563112E+04  1.532295036165405E+03  1.745050906199531E-05  8.134925991301145E+01  9.361823565773199E-01
  2.042911193509930E+00  1.794500365424058E+19  6.541167128610384E+02  5.489069774401284E+04  1.880655168010996E+03  1.408299266721738E-05  9.889492669670139E+01  9.228903684112086E-01
  2.052317179132114E+00  1.872630710670442E+19  7.382629881661330E+02  7.687820419806482E+04  2.214999398637606E+03  1.174522057665469E-05  1.144113522958756E+02  9.095065602262336E-01
  2.061723164754297E+00  1.936369430361292E+19  8.232307275057337E+02  1.014949344342230E+05  2.553995719957605E+03  9.974599412239873E-06  1.291803656752328E+02  8.960345877138197E-01
  2.071129150376480E+00  1.992954189865309E+19  9.109951029065642E+02  1.276857738522862E+05  2.908866121052818E+03  8.568479419924407E-06  1.439500901776373E+02  8.824787761758309E-01
  2.080535135998663E+00  2.045603902290439E+19  1.002461744253738E+03  1.548040568236178E+05  3.285486800010459E+03  7.422942721288722E-06  1.590875812566367E+02  8.688438935532786E-01
  2.089941121620845E+00  2.095701243979833E+19  1.097982066755204E+03  1.824911030156614E+05  3.686676181381000E+03  6.475673612205127E-06  1.747493840660312E+02  8.551350056286265E-01
  2.099347107243029E+00  2.143826036780214E+19  1.197633000483429E+03  2.105479664607476E+05  4.113615261532997E+03  5.684498942324367E-06  1.909854346140852E+02  8.413573951908453E-01
  2.108753092865212E+00  2.190215801675539E+19  1.301356384299549E+03  2.388568835354777E+05  4.566605863663455E+03  5.018610039508661E-06  2.077931502369762E+02  8.275165181025067E-01
  2.118159078487396E+00  2.234965207348418E+19  1.409025898979696E+03  2.673397060457572E+05  5.045452449531287E+03  4.454504046691424E-06  2.251439644712129E+02  8.136179655933327E-01
  2.127565064109578E+00  2.278111146324136E+19  1.520478945266977E+03  2.959373021967398E+05  5.549651282192236E+03  3.973810981527131E-06  2.429961043368991E+02  7.996673976615327E-01
  2.136971049731762E+00  2.319668178533840E+19  1.635530645912707E+03  3.245994027487939E+05  6.078479075637993E+03  3.561966185705354E-06  2.613005721175281E+02  7.856706310840973E-01
  2.146377035353944E+00  2.359643530934097E+19  1.753981096733636E+03  3.532800373642397E+05  6.631040539508956E+03  3.207306458598231E-06  2.800041970142295E+02  7.716335996600651E-01
  2.155783020976127E+00  2.398043273950068E+19  1.875618963060507E+03  3.819354745211647E+05  7.206294489837403E+03  2.900420053510935E-06  2.990512535066823E+02  7.575623377175852E-01
  2.165189006598311E+00  2.434874823219942E+19  2.000223466811770E+03  4.105233466242932E+05  7.803070527183969E+03  2.633662041297688E-06  3.183844328332038E+02  7.434629715497143E-01
  2.174594992220494E+00  2.470147924107502E+19  2.127565706248829E+03  4.390023310606013E+05  8.420081944390331E+03  2.400785444962564E-06  3.379455264529593E+02  7.293417107263667E-01
  2.184000977842678E+00  2.503875005504355E+19  2.257409702443241E+03  4.673320825709922E+05  9.055937306629516E+03  2.196656958908459E-06  3.576759763835420E+02  7.152048392488269E-01
  2.193406963464860E+00  2.536071471169182E+19  2.389514180059364E+03  4.954734599943525E+05  9.709155924835020E+03  2.017034856944168E-06  3.775174850144588E+02  7.010586172431164E-01
  2.202812949087044E+00  2.566755701524196E+19  2.523633745319602E+03  5.233886582506382E+05  1.037818089842749E+04  1.858396301699902E-06  3.974124987321783E+02  6.869092479916510E-01
  2.212218934709226E+00  2.595948351969321E+19  2.659517226840726E+03  5.510407384532638E+05  1.106137791735644E+04  1.717804000900179E-06  4.173042301001900E+02  6.727631444654798E-01
  2.221624920331409E+00  2.623672623127285E+19  2.796910043638362E+03  5.783940564038910E+05  1.175705411507195E+04  1.592795697351170E-06  4.371372586336653E+02  6.586267632877016E-01
  2.231030905953592E+00  2.649954153685844E+19  2.935555201191231E+03  6.054143709031956E+05  1.246347040587377E+04  1.481298027264121E-06  4.568578949008522E+02  6.445065894303126E-01
  2.240436891575776E+00  2.674820921120547E+19  3.075194428367555E+03  6.320689692800657E+05  1.317885457047851E+04  1.381557461970500E-06  4.764145319533973E+02  6.304091078862731E-01
  2.249842877197958E+00  2.698303521436771E+19  3.215571654817695E+03  6.583272471427837E+05  1.390142646985887E+04  1.292083361554802E-06  4.957582887007679E+02  6.163405416152093E-01
  2.259248862820142E+00  2.720434231782068E+19  3.356429592867212E+03  6.841598867260091E+05  1.462938763499931E+04  1.211606262177474E-06  5.148426543016690E+02  6.023072845481573E-01
  2.268654848442325E+00  2.741247019440501E+19  3.497511417009359E+03  7.095390743163354E+05  1.536093630571750E+04  1.139040353338240E-06  5.336238148201389E+02  5.883158155157392E-01
  2.278060834064508E+00  2.760777551493810E+19  3.638562635022665E+03  7.344387376919620E+05  1.609428343373706E+04  1.073453011047524E-06  5.520609716359688E+02  5.743725940885852E-01
  2.287466819686692E+00  2.779063094056802E+19  3.779332490262469E+03  7.588346735482680E+05  1.682766597986392E+04  1.014040194743837E-06  5.701165548178885E+02  5.604840034543116E-01
  2.296872805308875E+00  2.796142651297900E+19  3.919577422367712E+03  7.827050463417999E+05  1.755937066341388E+04  9.601054844199766E-07  5.877566611833035E+02  5.466560893393498E-01
